PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
74,0,3,"Andersson, Mr. Albert",male,21.9,0,0,369078,4.4,,S
75,1,3,"Nilsson, Mrs. Ada",female,30.1,0,0,388217,19.68,,S
76,0,3,"Taylor, Mr. Arthur",male,33.5,1,0,255221,18.46,,S
77,1,3,"Brown, Mr. John",male,15.2,0,0,224931,18.05,,S
78,0,1,"Miller, Mr. Charles",male,39.1,2,0,396032,60.92,,S
79,0,2,"Davis, Mr. Robert",male,30.2,1,2,205555,31.06,,S
80,1,1,"Moore, Mr. Frank",male,5.0,1,0,259473,131.24,,S
81,0,3,"Moore, Mr. John",male,16.0,2,1,111391,27.64,,S
82,0,3,"Williams, Mr. Charles",male,21.9,0,0,351999,10.08,,S
83,1,2,"Brown, Mrs. Florence",female,28.0,1,1,166228,19.03,E108,S
84,1,1,"Murphy, Mr. Robert",male,55.4,0,0,219919,26.8,,C
85,0,2,"Miller, Mr. Henry",male,32.3,0,0,271918,44.96,D149,S
86,0,2,"Jones, Mr. Frank",male,17.2,1,1,179320,13.09,,S
87,0,3,"O'Brien, Mrs. Florence",female,32.1,0,0,246704,3.32,,C
88,0,3,"Johnson, Mr. James",male,24.1,5,0,389901,28.19,,Q
89,0,3,"Andersson, Mr. Charles",male,33.5,0,0,178129,9.79,,S
90,0,3,"Miller, Mr. Edward",male,37.1,1,0,359541,38.04,,S
91,1,1,"Wilson, Mr. Charles",male,45.9,0,0,380914,70.51,,S
92,0,3,"Sullivan, Mr. Harry",male,28.7,0,0,380323,5.97,,Q
93,0,3,"O'Brien, Mrs. Nellie",female,51.9,0,0,249292,20.19,,S
94,0,3,"Davis, Mr. Robert",male,41.7,1,0,217875,9.31,,Q
95,0,3,"Miller, Mr. Joseph",male,,0,1,129951,17.58,,S
96,0,3,"Murphy, Mr. George",male,59.9,1,0,334011,6.28,,S
97,0,3,"Kelly, Mrs. Bertha",female,33.6,0,0,209753,16.22,,C
98,0,2,"Carlsson, Mr. Edward",male,17.3,0,2,395674,12.19,,C
99,0,1,"Brown, Mr. Henry",male,52.1,0,0,211524,118.17,,C
100,0,1,"Jones, Mr. Edward",male,,0,0,234026,64.31,,C
101,1,1,"Johnson, Mr. Edward",male,28.5,1,0,245613,77.88,,C
102,0,3,"Clark, Mr. Robert",male,21.9,0,0,251803,9.17,,S
103,0,2,"Andersson, Mr. Joseph",male,26.6,0,0,122976,16.21,,S
104,0,3,"Wilson, Mr. Charles",male,39.0,0,0,174590,19.03,,S
105,0,3,"Peterson, Mr. Albert",male,46.9,0,0,107115,4.29,,S
106,0,2,"Carlsson, Mr. Edward",male,37.0,0,2,299926,20.76,,S
107,0,2,"Andersson, Mr. Henry",male,30.4,1,0,368829,76.6,,S
108,0,3,"Wilson, Mr. James",male,50.0,0,0,160095,25.52,,S
109,1,2,"O'Brien, Mrs. Helen",female,24.6,0,0,151108,14.87,,S
110,1,1,"Carlsson, Mrs. Florence",female,43.4,0,0,219190,74.64,,Q
111,1,2,"Nilsson, Mrs. Nellie",female,,0,0,382138,11.53,D148,S
112,1,1,"Nilsson, Mrs. Ada",female,35.0,0,0,216580,105.16,,S
113,0,3,"Smith, Mr. Arthur",male,27.4,0,0,337135,3.38,,S
114,0,3,"Carlsson, Mrs. Emma",female,28.2,1,0,367931,8.14,,S
115,0,3,"Nilsson, Mr. Albert",male,23.7,0,0,238141,5.97,,S
116,0,3,"Clark, Mr. James",male,47.8,0,0,372857,7.95,,S
117,0,3,"Miller, Mr. Charles",male,18.7,0,2,284919,13.36,,S
118,0,1,"O'Brien, Mr. Walter",male,,0,2,110968,5.28,,C
119,1,3,"Nilsson, Mrs. Ada",female,58.7,3,0,263969,8.87,,C
120,0,3,"Andersson, Mr. Harry",male,42.7,0,0,281500,7.39,,S
121,1,3,"Davis, Mr. Edward",male,0.4,5,0,232166,22.06,,S
122,1,3,"Larsson, Mrs. Edith",female,21.1,0,0,152591,5.03,,S
123,1,2,"Wilson, Mr. Henry",male,3.6,0,0,133878,20.23,E104,C
124,0,1,"Taylor, Mr. Charles",male,15.7,0,1,177405,61.06,,S
125,1,2,"Johnson, Mrs. Ethel",female,0.4,0,0,384529,34.68,E71,S
126,0,2,"Carlsson, Mr. Walter",male,27.1,0,2,242761,31.47,,S
127,0,3,"Moore, Mr. Thomas",male,13.0,0,0,321518,33.5,,S
128,1,3,"Williams, Mr. Charles",male,29.8,0,0,388764,23.75,,S
129,0,1,"Wilson, Mr. Joseph",male,6.2,0,0,117935,87.36,,S
130,0,3,"Carlsson, Mrs. Elizabeth",female,30.2,0,2,214492,20.03,,C
131,0,2,"Taylor, Mr. James",male,,0,0,198512,13.83,,S
132,0,2,"Smith, Mr. Frank",male,50.0,2,2,244817,18.5,,S
133,0,1,"Johnson, Mr. Thomas",male,48.8,0,0,197620,78.33,,C
134,0,2,"O'Brien, Mr. Edward",male,,1,0,191807,7.89,,C
135,0,3,"Andersson, Mrs. Mary",female,,0,1,199791,22.61,,S
136,1,2,"Carlsson, Mr. Robert",male,56.8,0,0,334395,42.86,,S
137,1,3,"Murphy, Mr. Arthur",male,7.3,0,1,208662,10.07,,S
138,0,3,"Wilson, Mr. Harry",male,9.4,0,0,319420,10.69,,S
139,1,2,"Taylor, Mrs. Bertha",female,27.8,0,1,289170,9.82,,S
140,0,3,"Smith, Mrs. Nellie",female,60.6,0,0,372764,3.88,,C
141,0,3,"Moore, Mr. Frank",male,,0,0,261910,18.52,,S
142,0,2,"Larsson, Mr. Joseph",male,26.4,0,0,379063,6.2,,S
143,1,3,"Wilson, Mr. Robert",male,,2,0,389446,3.92,,S
144,1,2,"Jones, Mrs. Edith",female,42.2,0,1,222545,26.5,,S
145,0,2,"Peterson, Mr. Walter",male,,0,0,117287,19.33,,S
146,1,1,"Johnson, Mrs. Mary",female,40.0,0,0,194033,114.03,,S
147,1,3,"Johnson, Mr. Edward",male,20.2,2,0,289906,5.88,,S
148,0,3,"Brown, Mrs. Alice",female,19.1,0,0,243013,36.38,,S
149,1,1,"O'Brien, Mr. Robert",male,10.9,0,0,219211,31.42,,S
150,0,2,"Clark, Mr. Harry",male,30.2,2,0,326585,11.05,,S
151,0,3,"Taylor, Mr. William",male,,1,0,103653,6.1,,S
152,0,2,"Sullivan, Mr. John",male,12.5,0,1,296333,53.39,,S
153,1,1,"Clark, Mrs. Margaret",female,,0,0,118523,50.52,,S
154,1,3,"Moore, Mrs. Alice",female,22.2,1,3,379724,4.75,,C
155,1,3,"Nilsson, Mrs. Emma",female,21.5,1,0,392702,49.03,,C
156,1,2,"Miller, Mr. Joseph",male,35.5,0,0,368549,47.73,,C
157,0,3,"Murphy, Mr. George",male,30.1,0,0,260414,25.84,,S
158,1,3,"Moore, Mrs. Bertha",female,25.0,0,0,214791,30.69,,S
159,0,2,"O'Brien, Mr. John",male,31.6,0,0,328811,7.37,,S
160,0,3,"Clark, Mr. Frank",male,15.1,1,1,132511,33.54,,C
161,0,2,"Davis, Mr. Arthur",male,30.5,0,0,205645,14.27,,Q
162,0,3,"Nilsson, Mr. Robert",male,,3,1,127780,14.67,,C
163,1,3,"Johnson, Mr. Frank",male,8.0,1,0,223440,11.12,,S
164,0,3,"Jones, Mr. William",male,42.9,0,0,362281,28.47,,C
165,0,1,"Murphy, Mr. John",male,16.7,0,0,283822,4.56,,Q
166,1,3,"Moore, Mrs. Emma",female,30.3,0,2,246333,4.29,,S
167,1,2,"Jones, Mr. George",male,45.3,0,0,175980,45.87,F110,S
168,0,1,"Sullivan, Mr. Arthur",male,42.0,0,1,331610,40.8,B80,S
169,0,1,"Clark, Mr. Thomas",male,,0,0,358870,170.21,,S
170,1,3,"Smith, Mrs. Edith",female,23.9,0,0,181348,6.37,,S
171,0,3,"Brown, Mr. George",male,42.3,0,0,337561,9.25,,C
172,1,1,"Carlsson, Mr. George",male,38.4,1,1,154241,234.86,,C
173,0,3,"Carlsson, Mr. Harry",male,20.3,0,0,278142,19.91,,Q
174,0,2,"Wilson, Mr. Albert",male,17.9,0,0,389975,19.59,D105,S
175,0,3,"Davis, Mr. James",male,0.4,1,1,115676,16.67,,S
176,1,1,"Clark, Mrs. Rose",female,31.2,0,0,300452,146.01,A7,S
177,0,3,"Brown, Mrs. Emma",female,27.8,0,2,328236,12.53,,S
178,1,2,"Jones, Mr. Robert",male,44.9,0,1,372807,26.43,,S
179,0,3,"Peterson, Mr. George",male,34.0,5,0,368077,49.69,,C
180,1,1,"Andersson, Mrs. Emma",female,47.7,0,1,386948,28.12,,S
181,0,2,"Murphy, Mr. Thomas",male,19.2,0,0,206623,19.44,,S
182,0,1,"Peterson, Mrs. Edith",female,44.9,0,0,394196,47.07,,S
183,0,3,"Johnson, Mr. George",male,21.6,0,0,179838,5.37,,Q
184,1,3,"Larsson, Mrs. Elizabeth",female,39.9,0,0,367294,12.88,,S
185,1,2,"Murphy, Mrs. Ethel",female,8.6,0,0,159219,8.19,,S
186,1,3,"Davis, Mrs. Rose",female,32.3,3,0,126850,4.77,,Q
187,1,3,"Brown, Mrs. Alice",female,1.2,3,0,114017,10.54,,S
188,0,3,"Kelly, Mr. George",male,25.3,0,0,369823,17.29,,S
189,1,3,"Larsson, Mrs. Alice",female,,0,0,389098,16.32,,S
190,1,2,"Murphy, Mr. Robert",male,21.7,0,0,175203,16.03,,S
191,0,1,"Smith, Mr. Joseph",male,14.3,1,1,366649,20.59,,S
192,1,3,"Smith, Mrs. Margaret",female,40.8,0,0,109725,3.17,,C
193,1,3,"Wilson, Mrs. Emma",female,,0,0,396294,15.02,,S
194,1,3,"Sullivan, Mrs. Elizabeth",female,,1,0,291891,6.82,,S
195,0,2,"Brown, Mr. Albert",male,29.6,1,0,277500,20.28,F97,S
196,1,2,"Andersson, Mrs. Bertha",female,65.9,0,0,307836,18.33,,S
197,1,3,"Taylor, Mrs. Mary",female,45.1,2,0,116493,1.72,,S
198,0,3,"Wilson, Mr. Arthur",male,45.3,2,0,240191,31.04,,S
199,0,3,"Murphy, Mr. Harry",male,35.1,0,0,248309,3.12,,S
200,0,3,"Williams, Mr. Walter",male,31.3,0,0,159180,9.47,,S
201,0,3,"Murphy, Mr. Harry",male,,8,0,333898,3.76,,S
202,1,1,"Sullivan, Mrs. Margaret",female,19.5,0,1,313355,40.97,,S
203,0,1,"Brown, Mr. Arthur",male,22.3,0,0,122421,45.22,B117,S
204,1,3,"Larsson, Mrs. Elizabeth",female,2.8,0,0,205000,7.98,,S
205,1,3,"Johnson, Mrs. Elizabeth",female,,2,0,308697,9.68,,C
206,0,1,"Kelly, Mr. Albert",male,1.3,1,0,112827,218.12,,S
207,1,1,"Miller, Mrs. Bertha",female,28.5,0,3,148694,31.79,,C
208,0,3,"Larsson, Mr. John",male,40.5,4,0,124099,17.73,,S
209,1,1,"O'Brien, Mrs. Mary",female,44.5,1,0,263779,157.61,,Q
210,1,1,"O'Brien, Mr. James",male,34.8,1,0,181322,100.75,B5,S
211,1,3,"Jones, Mrs. Helen",female,15.5,0,0,228773,29.37,,Q
212,0,3,"Peterson, Mr. Edward",male,2.0,0,0,390514,16.54,,S
213,1,3,"Larsson, Mr. George",male,4.4,1,2,256978,16.19,,C
214,1,2,"Peterson, Mrs. Edith",female,11.2,0,0,232985,39.22,,Q
215,0,3,"Kelly, Mr. Edward",male,16.6,0,0,347696,14.57,,S
216,1,2,"Taylor, Mr. William",male,26.8,1,0,319693,38.6,,C
217,0,2,"Jones, Mr. Joseph",male,14.8,0,0,376561,21.75,,S
218,0,3,"Andersson, Mrs. Alice",female,33.7,1,0,101868,25.48,,S
219,0,3,"Smith, Mr. Walter",male,25.7,0,0,192938,33.33,,S
220,0,3,"Miller, Mr. George",male,29.1,0,0,372178,8.53,,S
221,0,3,"Williams, Mr. Frank",male,,0,0,103098,7.54,,S
222,0,3,"Nilsson, Mr. James",male,12.5,0,0,172975,29.32,,Q
223,0,1,"Carlsson, Mr. Albert",male,34.9,0,0,192429,154.16,,C
224,0,2,"Nilsson, Mr. Thomas",male,28.8,1,0,293998,3.07,,C
225,0,2,"Jones, Mr. Albert",male,24.3,0,0,371869,20.47,,S
226,0,2,"Wilson, Mr. Robert",male,,0,0,398535,57.02,,S
227,0,3,"Miller, Mr. Robert",male,41.3,0,0,167829,4.27,,S
228,1,2,"Peterson, Mrs. Alice",female,,0,2,268857,5.56,,S
229,0,3,"Johnson, Mr. Robert",male,,0,1,264753,6.49,,S
230,0,3,"Larsson, Mr. James",male,32.9,0,3,317587,8.08,,S
231,0,3,"Murphy, Mrs. Margaret",female,25.2,0,3,144295,2.47,,C
232,0,3,"Johnson, Mr. Walter",male,37.2,1,1,175003,4.32,,S
233,0,3,"Brown, Mrs. Emma",female,32.9,0,2,302338,2.24,,S
234,0,3,"Jones, Mr. Joseph",male,54.7,1,1,332977,13.35,,S
235,1,1,"Taylor, Mr. Arthur",male,,1,0,339128,80.58,,S
236,1,3,"Williams, Mr. John",male,27.3,3,0,261223,29.5,,S
237,1,2,"Andersson, Mrs. Ada",female,16.3,0,0,308145,21.19,,S
238,1,1,"Kelly, Mrs. Mary",female,37.5,0,1,185060,107.29,C57,S
239,0,3,"Peterson, Mr. John",male,6.4,0,0,181737,18.84,,Q
240,1,1,"Williams, Mr. Harry",male,33.8,8,1,296618,30.62,,S
241,0,3,"O'Brien, Mrs. Margaret",female,20.2,0,0,291497,4.45,,C
242,0,3,"Peterson, Mr. Edward",male,,0,0,397867,3.85,,S
243,0,3,"Sullivan, Mr. Frank",male,,0,0,364938,8.06,,S
244,1,2,"Taylor, Mrs. Nellie",female,22.5,0,2,144122,11.24,,C
245,1,1,"Nilsson, Mrs. Ethel",female,44.2,0,0,123776,73.96,,S
246,0,3,"Taylor, Mr. William",male,28.6,0,1,173750,19.88,,S
247,1,2,"Moore, Mrs. Helen",female,37.8,0,1,320375,26.15,,S
248,1,3,"O'Brien, Mrs. Emma",female,52.3,0,0,361249,7.46,,C
249,0,3,"Moore, Mr. John",male,32.7,0,0,145641,6.38,,S
250,0,3,"Nilsson, Mr. John",male,21.2,0,0,394540,7.09,,S
251,0,2,"Jones, Mr. John",male,35.5,0,0,119235,11.81,,S
252,0,2,"Clark, Mrs. Edith",female,21.4,3,0,395997,4.38,F92,S
253,1,3,"Clark, Mrs. Bertha",female,21.9,0,0,278498,14.31,,C
254,0,2,"Wilson, Mr. Walter",male,7.7,1,0,356619,57.23,,C
255,1,1,"Sullivan, Mrs. Ada",female,42.0,0,1,161455,70.96,B110,S
256,0,3,"Johnson, Mr. Arthur",male,,2,0,393325,11.98,,S
257,1,3,"Smith, Mr. Walter",male,,0,0,279957,15.87,,Q
258,0,3,"Nilsson, Mr. George",male,14.5,0,0,322511,4.21,,S
259,1,3,"Jones, Mr. Charles",male,35.1,0,1,238350,6.56,,C
260,1,1,"Andersson, Mrs. Bertha",female,18.3,1,1,102456,43.9,,S
261,0,3,"Taylor, Mr. Thomas",male,27.0,0,0,118101,4.03,,S
262,0,3,"Davis, Mrs. Edith",female,41.3,0,2,392688,33.08,,C
263,0,1,"Murphy, Mr. Albert",male,40.1,0,1,167153,119.47,D111,S
264,0,3,"Larsson, Mr. Albert",male,,0,0,290576,20.48,,C
265,1,3,"Larsson, Mrs. Alice",female,4.2,0,0,216902,8.68,,S
266,0,3,"Wilson, Mr. Henry",male,,0,0,167381,12.71,,S
267,0,3,"Davis, Mr. John",male,,0,0,333747,8.09,,C
268,0,3,"Jones, Mr. Arthur",male,,0,0,243296,9.59,,S
269,1,2,"Murphy, Mrs. Ada",female,18.5,1,0,207723,18.0,,C
270,1,2,"Williams, Mr. Joseph",male,27.4,0,0,286162,15.03,,Q
271,0,3,"Peterson, Mr. Henry",male,,0,1,226407,11.91,,Q
272,0,3,"Wilson, Mr. Thomas",male,,1,0,239403,2.56,,C
273,0,3,"Clark, Mr. Walter",male,32.7,0,3,350421,4.29,,S
274,0,3,"Williams, Mrs. Ada",female,18.0,0,0,361684,8.06,,S
275,0,3,"Kelly, Mr. Walter",male,22.4,1,0,326792,9.24,,C
276,0,3,"Moore, Mr. George",male,44.7,0,0,158715,9.24,,S
277,0,3,"Wilson, Mr. John",male,51.4,0,0,299518,17.1,,S
278,0,3,"Jones, Mr. Frank",male,50.4,4,3,306053,13.73,,S
279,1,3,"Nilsson, Mrs. Margaret",female,39.6,3,1,248453,15.29,,S
280,0,3,"Moore, Mr. William",male,25.5,0,0,305147,7.06,,Q
281,1,3,"Sullivan, Mrs. Alice",female,0.4,0,2,309864,4.95,,S
282,0,2,"Smith, Mr. Joseph",male,33.2,0,0,180469,14.76,D55,S
283,1,2,"Peterson, Mr. Joseph",male,29.0,0,0,388006,27.71,D111,S
284,1,1,"Clark, Mrs. Helen",female,31.0,0,0,206819,197.11,D25,C
285,0,3,"Peterson, Mr. William",male,,0,0,192828,7.25,,Q
286,1,1,"Peterson, Mrs. Florence",female,10.4,3,0,296478,196.78,E18,S
287,1,3,"Larsson, Mrs. Emma",female,36.8,2,0,158748,4.48,,C
288,0,3,"Clark, Mr. Harry",male,37.9,0,0,309908,2.8,,S
289,0,2,"Moore, Mr. Thomas",male,,0,0,269079,13.5,F30,S
290,1,3,"Larsson, Mrs. Alice",female,42.3,0,0,270284,4.97,,C
291,0,1,"Peterson, Mr. James",male,37.5,0,2,130089,38.8,,S
292,1,1,"Sullivan, Mr. Charles",male,23.3,0,0,129315,133.63,,S
293,0,3,"Nilsson, Mr. Thomas",male,28.0,1,0,262583,20.37,,S
294,0,2,"Johnson, Mr. Walter",male,30.3,0,0,154356,20.59,,S
295,1,1,"Nilsson, Mrs. Emma",female,30.5,2,0,292081,79.54,B141,S
296,0,3,"Kelly, Mr. Arthur",male,,0,1,193111,6.24,,S
297,0,3,"Smith, Mr. George",male,,0,0,309735,9.97,,S
298,1,2,"Larsson, Mr. Thomas",male,58.1,0,1,127670,13.02,E20,S
299,0,3,"Miller, Mr. Joseph",male,59.9,0,2,180136,3.47,,S
300,1,1,"Smith, Mr. Edward",male,30.1,2,0,262840,220.46,B108,S
301,1,1,"Andersson, Mrs. Ada",female,,1,0,388995,54.52,,Q
302,0,3,"Larsson, Mr. Charles",male,,0,0,358335,4.62,,S
303,1,3,"Moore, Mrs. Florence",female,21.4,0,0,136192,3.14,,Q
304,1,3,"Wilson, Mrs. Alice",female,17.8,0,0,301402,15.99,,S
305,0,3,"Andersson, Mr. Robert",male,23.4,8,0,151678,33.93,,C
306,0,3,"Davis, Mr. Walter",male,22.7,1,0,212445,41.32,,S
307,0,3,"Peterson, Mr. Thomas",male,37.6,0,0,242498,10.48,,C
308,0,2,"Nilsson, Mr. Arthur",male,7.2,0,2,208373,13.31,D111,S
309,1,3,"Davis, Mrs. Emma",female,13.9,0,0,231385,12.16,,S
310,1,2,"Murphy, Mrs. Rose",female,33.8,0,0,173150,17.89,,S
311,0,2,"O'Brien, Mr. Frank",male,37.7,0,1,347854,2.57,,S
312,0,1,"Moore, Mr. Henry",male,38.0,0,0,372713,49.32,,C
313,0,1,"Taylor, Mrs. Rose",female,18.0,2,0,158638,88.28,,Q
314,1,3,"Andersson, Mrs. Bertha",female,15.3,0,1,145175,16.58,,S
315,0,3,"Moore, Mr. William",male,21.9,0,0,273702,17.46,,Q
316,0,3,"Davis, Mr. Albert",male,32.4,2,0,385913,11.83,,S
317,0,2,"Jones, Mr. Edward",male,49.8,0,0,340913,6.63,,C
318,1,1,"Kelly, Mrs. Ethel",female,0.4,0,0,190092,62.95,,Q
319,1,1,"Carlsson, Mr. John",male,25.9,0,0,365002,162.38,,S
320,1,2,"Jones, Mr. Henry",male,10.3,0,2,144728,22.71,,S
321,0,3,"Davis, Mr. Charles",male,5.9,0,0,244971,9.19,,S
322,0,3,"Jones, Mr. Charles",male,42.5,0,0,251100,43.82,,S
323,0,3,"Jones, Mr. Thomas",male,,1,2,396029,12.3,,C
324,1,2,"Andersson, Mrs. Bertha",female,35.3,0,0,329394,15.17,,S
325,0,3,"Johnson, Mr. John",male,41.9,1,0,288280,18.54,,Q
326,0,3,"Taylor, Mr. Joseph",male,22.3,0,0,358639,4.03,,S
327,0,3,"Williams, Mr. John",male,,1,0,308802,8.88,,S
328,0,3,"Clark, Mr. Henry",male,59.6,0,3,262869,10.32,,S
329,1,2,"Johnson, Mr. Thomas",male,25.5,1,0,258569,3.57,,Q
330,1,2,"Johnson, Mr. Joseph",male,39.3,0,2,140786,19.7,,S
331,0,2,"Murphy, Mr. William",male,29.1,0,0,211272,24.72,,Q
332,0,3,"Larsson, Mr. Albert",male,,0,1,325233,7.42,,S
333,0,1,"Smith, Mr. George",male,0.4,1,0,315435,117.68,E102,S
334,0,1,"Wilson, Mr. Edward",male,20.9,0,3,360121,146.18,,S
335,1,1,"Brown, Mrs. Clara",female,43.8,0,2,165412,158.74,,C
336,1,1,"Davis, Mrs. Florence",female,40.0,0,0,373573,28.01,,S
337,0,3,"Larsson, Mr. John",male,41.8,1,1,127909,12.79,,S
338,0,3,"Andersson, Mr. Arthur",male,15.2,0,0,293098,17.8,,S
339,1,3,"Miller, Mrs. Edith",female,51.6,2,2,258845,12.76,,S
340,1,1,"Nilsson, Mr. Thomas",male,15.5,4,0,144623,139.2,,S
341,0,3,"O'Brien, Mrs. Edith",female,32.0,0,0,314438,13.55,,C
342,0,3,"Nilsson, Mrs. Edith",female,,0,1,106225,4.44,,S
343,0,1,"Smith, Mr. William",male,26.6,1,1,350339,140.93,C51,C
344,0,2,"Carlsson, Mr. James",male,47.7,0,0,246468,18.65,,S
345,0,2,"Johnson, Mrs. Anna",female,19.1,0,1,293792,49.1,,S
346,1,3,"Sullivan, Mr. Henry",male,10.1,2,0,347514,4.46,,S
347,0,3,"Smith, Mr. Albert",male,29.3,3,1,294046,12.64,,S
348,1,1,"Kelly, Mr. Frank",male,23.4,2,0,380012,191.26,,C
